ID_ART	Sep_2024	Oct_2024	Nov_2024	Dic_2024	Ene_2025	Feb_2025	Mar_2025	Abr_2025	May_2025	Jun_2025	Jul_2025	Ago_2025
SOELSI8180MP	9,478207	8,818657	10,35112	13,53929	10,9124	8,544203	11,30874	6,70693	5,109955	12,30911	9,196595	6,588218
SOELSI9180DV	11,94214	14,91034	13,81267	14,71367	12,82283	11,37537	12,02728	12,37153	13,08444	12,77127	11,64586	11,05997
SOELSI9300DV	8,856296	6,540567	8,169798	7,352379	6,692354	8,32206	7,971424	7,652675	6,317758	7,251766	6,64653	5,446962
SOELSIC40DV	2,120985	2,700104	2,659399	2,809176	2,721242	2,838992	2,818446	2,667107	2,75336	2,577121	2,574061	2,784543
SOFUFW181	28,17489	10,45573	30,72851	4,46019	2,677965	23,07196	6,413844	9,880179	3,432825	9,983894	3,257589	2,039871
SOSWC1-611	14,80988	14,2605	14,0866	13,91517	12,87589	14,20118	12,79368	15,61555	12,22348	13,30937	12,65693	11,5094
SOSWC1-651	11,11604	11,30642	11,09938	10,66185	10,55363	10,42922	10,47209	10,32385	10,4887	9,926727	10,02786	9,886821
SOSWG2-210	2,019188	2,945054	0,790579	0,810067	1,593911	3,057607	1,496984	1,136997	2,078378	0,938845	1,756285	3,212312
SOSWG2-213	1,819941	3,015871	1,652275	0,084895	1,447	2,371734	2,83684	0,473572	1,8891	0,944478	0,94436	2,832904
SOSWM1-111	12,45939	14,70916	12,72252	14,4359	13,36521	13,59253	13,45759	13,18182	13,39093	13,02461	13,14741	12,91198
SOSWM2-237	0,142853	0,529182	0,014296	0,124885	0,666032	0,823646	0,130369	0,439426	0,553101	0	0,380332	0,232557
SOSWM2-245	0,558678	0	0,512556	0,200272	0,036162	0,410157	0,417479	0,068402	0,225636	0	0,645848	0,119055
SOSWM2-254	0,10317	0,350747	0,160069	0,112608	0,436755	0,2344	0,298386	0,218822	0,192723	0,224819	0,199223	0,111418
SOSWM2-311	0	0	0	0	0	0	0	0	0	3,01E-22	0	0
SOSWSWA153N	12,83442	11,71272	12,39861	11,97921	12,23566	12,07885	12,17473	12,1161	12,15195	12,13003	12,14344	12,13524
SOSWSWP3060	1,62719	2,647126	1,369683	1,400643	1,225289	1,551454	1,504254	1,262735	1,485438	1,096466	0,99281	1,292618
SOSWSWT2045	1,082305	0,952865	0,706495	0,876192	0,921511	0,546047	0,885474	0,549403	0,839484	0,969276	0,918519	0,826001
AUACSPRING35L	0	0	0	0	0	0	0	0	0	0	0	0
AUACSPRING35R	0	0	0	0	0	0	0	0	0	0	0	0
AUACSPRING45L	0	0	0	0	0	0	0	0	0	0	0	0
AUACSPRING45R	0	0	0	0	0	0	0	0	0	0	0	0
AUACAE30	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268	18,54411268
AUACAH45	0,238242738	3,402707859	2,854274658	2,094196342	2,356954317	2,519441631	2,424454092	2,395665688	2,42541455	2,428535447	2,420121805	2,420578513
AUACFL85265	7,299466877	7,131984353	7,34324671	7,382864281	7,413813639	7,470913883	7,522500514	7,571859589	7,622559683	7,673225549	7,72371331	7,774251621
AUACHULK450	6,343114979	5,353750551	5,452215685	5,628460813	5,657176915	5,650571829	5,659965601	5,677147131	5,693234027	5,707997528	5,722707996	5,73760467
AUACHULK750	7,651429294	6,811763885	7,036103898	6,682830337	6,970755498	6,694428358	6,947128797	6,712852077	6,929197509	6,72918659	6,9140369	6,743182339
AUACHULK950	9,864128453	9,42445051	9,75799876	9,832029219	9,993161595	10,12505997	10,26677014	10,40518719	10,5447095	10,68386086	10,82313672	10,96237079
AUACKCP551R	1,102470656	1,150741048	1,153126867	1,155364506	1,157463168	1,159431485	1,161277552	1,163008961	1,164632835	1,166155852	1,167584277	1,168923983
AUACLD500	0,237180115	0	0,235267244	0	0,191554292	0	0,141256054	0	0,090606447	0	0,040661066	0
HEELAG1141	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303	34,8382303
HEELBV04	10,61046044	9,822885711	9,404016146	9,07000706	8,755529299	8,445546832	8,136598992	7,82788928	7,519234375	7,210592085	6,901952698	6,593313979
HEELCA1012D	3,148341001	2,890300192	2,632259384	2,374218576	2,116177768	1,85813696	1,600096152	1,342055344	1,084014536	0,825973728	0,56793292	0,309892112
HEELCA1510	19,6055388	21,71169192	20,44553902	20,4933659	20,76715511	20,6399284	20,63029779	20,66393164	20,65190374	20,64919326	20,65313639	20,65209357
HEELCS1425	6,242038665	7,877056544	7,836834249	8,179530623	8,407326287	8,642460801	8,856631725	9,057973279	9,245695286	9,421094738	9,584889204	9,737868654
HEELHG1600	22,96574702	25,30041708	26,50718249	24,99975133	25,61393497	26,21945904	25,85671944	26,07021447	26,38737663	26,37889729	26,51531635	26,71549976
HEELMS1021S	3	3	3	3	3	3	3	3	3	3	3	3
HEELTA550	4,983904408	4,88875994	4,793615471	4,698471003	4,603326535	4,508182066	4,413037598	4,31789313	4,222748661	4,127604193	4,032459725	3,937315256
HEELTA750	10,15779243	11,15928388	11,65022581	11,10044611	11,33848951	11,31439403	11,27411799	11,30562256	11,29482554	11,29438027	11,29719476	11,29549183
HEELTS255	3,188335904	3,428950187	3,237727977	3,256941444	3,311831029	3,276287456	3,276401109	3,288431067	3,282034787	3,281323161	3,283874915	3,282768415
HEFUFCD21	51,51303339	47,8656911	44,08379281	41,54799537	40,2907689	39,88651924	39,90303364	40,05341352	40,19685296	40,28903736	40,33276716	40,34550774
MAEL2G65	13	13	13	13	13	13	13	13	13	13	13	13
MAEL2G950	10,91999864	10,50474029	11,52320339	11,30616866	11,08625596	11,22089855	11,23943432	11,19478588	11,20420567	11,2138777	11,20799192	11,20716483
SOELCSVM530	36,41662303	36,83324606	37,2498691	37,66649213	38,08311516	38,49973819	38,91636122	39,33298426	39,74960729	40,16623032	40,58285335	40,99947638
SOELRSF0810B	0	0	0	0	0	0	0	0	0	0	0	0
SOELRSS0608B	0	0	0	0	0	0	0	0	0	0	0	0
SOSWC6-603	6	6	6	6	6	6	6	6	6	6	6	6
SOSWM2-246	0,090667804	0,113164575	0,118746542	0,120131557	0,120475211	0,120560479	0,120581636	0,120586886	0,120588188	0,120588512	0,120588592	0,120588612
SOSWP2-410	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967	0,897053967
SOSWP2-418	0,986654656	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703	0,834167703
SOSWP2-511	1,888338173	1,693111827	1,635872289	1,590886441	1,572227599	1,56080097	1,55534646	1,552305374	1,550768894	1,549943091	1,549516261	1,549290154
SOSWP2-513	1,751554259	1,810534713	1,869515167	1,928495621	1,987476075	2,046456529	2,105436983	2,164417436	2,22339789	2,282378344	2,341358798	2,400339252
SOSWSWA2057	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383	11,14705383
SOSWSWC1000	0	0	0	0	0	0	0	0	0	0	0	0
AUACAR10SC901	0,6	0	0	0	0	0	0	0	0	0	0	0
AUACCRAB03	1	1	1,2	1	1	1	1	1	1	1	1	1
AUACFENIX600	3,6	6,2	6	5,8	3,6	2,6	2,2	1,8	2,8	4	3,6	6
AUACKCP201R	0	0	0	0	0	0	0	0	0	0	0	0
AUACKCP375C	1,4	0,8	0,8	0,8	0,8	1,2	0,8	0,8	0,8	1,2	1,2	0,8
AUACKCP376R	2,4	0,6	1	1,8	0,6	1,6	1,8	2,2	3	4,2	3	3,6
AUACKCP400C	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4
AUACKCP401R	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2
AUACKCP450R	1,2	0	0	0,6	0	0	0	0	0	0	0	0
AUACKCP451C	0	0	0	0	0	0	0	0	0	0	0	0
AUACKCP491R	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2
AUACKCP575R	0	0	0	0	0	0	0	0	0	0	0	0
AUACKCP801R	1,8	2,2	2,4	3	1,8	2,6	1,8	2,6	1	2,6	1,2	2,6
AUACKCP875R	2	1,2	1,4	1,6	2	2,6	2,6	2,6	3,8	2,6	2,2	4,2
AUACKCP950R	0,4	0,2	0,6	0,6	1,6	2,2	1,8	2	2	2	2,6	2,6
AUACKH100K	0	0	0	0	0	0	0	0	0	0	0	0
AUACKH120K	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6
AUACKH55K	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4	0,4
AUACKSH20	0,4	0,8	0,4	1	0,2	1,2	0,4	1,2	0,4	1,6	0,4	1,6
AUACOP3090W	14,2	18	14	17,2	17,8	16,4	19,2	16,2	19,2	16,2	19,2	15,8
AUACOWL504	4,8	4,2	7,2	8,4	4,6	5,8	8	5,2	5,8	7,6	6,8	5,2
AUACOWL608	3,4	3,2	4,4	4,6	4,2	4,2	4,2	6	6	6	6	6,2
AUACSC901	23,4	31,4	30,4	31,6	31,6	31,6	27,8	22,8	23,6	23,6	22,6	27,4
AUACSLB220	0,4	0,8	0	0,4	0,8	0	0,4	0,8	0	0,4	0,8	0
AUACVIPER100	0,2	0,8	0,6	1	1	0,6	0,6	0,4	0,6	0,6	0,2	0,6
AUELMC12	3,6	3,6	3,8	3,6	3,6	3,6	3,6	3,6	3,6	3,6	3,6	3,6
